SeqNumber	rrtf_1v2.p	rrtf_1v2.d1	rrtf_1v2.d2	rrtf_1v3.p	rrtf_1v3.d1	rrtf_1v3.d2	rrtf_1v4.p	rrtf_1v4.d1	rrtf_1v4.d2	rrtf_2v3.p	rrtf_2v3.d1	rrtf_2v3.d2	rrtf_2v4.p	rrtf_2v4.d1	rrtf_2v4.d2	rrtf_3v4.p	rrtf_3v4.d1	rrtf_3v4.d2
34573	0.602632	0.00792493	0.00104392	0.410405	0.0447525	0.0609053	0.410404	0.0447464	0.0609081	0.315034	0.0393824	0.0567319	0.315031	0.0393862	0.0567351	0.997956	0	0
34579	0.655468	0.00239435	0.000102216	0.0139358	0.0191847	0.0683839	0.0139357	0.0191773	0.068353	0.0115987	0.0181421	0.066557	0.0115986	0.018154	0.0665535	0.992338	0	0
34580	0.484185	0	0.015075	0.319939	0.0997813	0.133488	0.302855	0.0981525	0.132397	0.368194	0.103033	0.135618	0.348973	0.101384	0.134634	0.91759	0.000745013	0.000886584
34582	0.475383	0.0126703	0.00674528	0.00751863	0.258952	0.44474	0.00853701	0.259765	0.442543	0.00489688	0.246893	0.429188	0.0055789	0.247837	0.427495	0.427392	0.00563686	0
34584	0.996945	0	0	0.548622	0.0104262	0.00490328	0.548581	0.0102035	0.00479413	0.548556	0.0102222	0.00480396	0.548554	0.0102241	0.00480528	1	0	0
34586	0.64424	0.00106311	0.0032486	0.782199	0.065645	0.0608453	0.0827697	0.0734082	0.0419839	0.762308	0.0673062	0.0618636	0.0759572	0.0743306	0.0420964	0.000119836	0.0128108	0
34588	0.107669	0.00571493	0	0.0157282	0.067606	0.0146558	0.0157273	0.0677452	0.014676	0.0531343	0.0661133	0.022399	0.0531348	0.0661254	0.0223976	1	0	0
34589	0.962297	0.0131806	0.0105911	0.260709	0.178027	0.236232	0.260683	0.178451	0.236702	0.271797	0.182543	0.242618	0.271786	0.182555	0.242595	0.994482	0	0
34590	0.0162346	0	0.00629469	0.000457801	0.0504545	0.173217	0.000333856	0.0498933	0.174292	0.0025959	0.0617871	0.174049	0.00195719	0.0610749	0.175266	0.287817	0	0.0013507
34591	0.472788	0.00926872	0.00269273	0.853434	0.20255	0.190983	0.915801	0.209609	0.202777	0.956281	0.202673	0.199268	0.978584	0.209652	0.211419	0.65084	0.00375078	0.00756978
34594	1	0	0	0.309567	0.106039	0.0263343	0.309579	0.106053	0.0263099	0.309582	0.105983	0.0263506	0.309586	0.105998	0.0263457	1	0	0
34595	0.999138	0	0	0.0870605	0.0506061	0.191248	0.0870614	0.0506453	0.191327	0.0870607	0.0506118	0.19129	0.0870588	0.0505967	0.19135	0.999343	0	0
34596	0.610012	0.00685844	0.00407292	0.348516	0.100608	0.0780894	0.348564	0.1006	0.0780713	0.444575	0.105733	0.08599	0.444577	0.105762	0.086011	0.996506	0	0
34598	0.559538	0.0094916	0.00499707	0.728575	0.223705	0.201836	0.668374	0.228244	0.201228	0.828939	0.230435	0.216443	0.767159	0.234901	0.215668	0.29259	0.00227299	0
34599	0.35274	0.000857052	0.00472814	0.422506	0.134597	0.114806	0.457823	0.133781	0.115575	0.334218	0.133959	0.1105	0.364916	0.133357	0.111343	0.273815	0	0.00065541
34600	0.00115307	0	0.0519733	0.00130922	0.262749	0.604736	0.000749244	0.256211	0.607888	0.00186013	0.267207	0.579583	0.00108055	0.260443	0.582058	0.145174	0	0.00776688
34602	1	0.0123301	0.0122992	0.230958	0.158971	0.250999	0.186453	0.152048	0.253981	0.228338	0.14991	0.245447	0.183949	0.142822	0.249214	0.281843	0	0.00338074
34603	0.0282257	0	0.0314467	0.320241	0.207043	0.298331	0.328836	0.207768	0.297603	0.790699	0.248899	0.27365	0.801707	0.250625	0.273754	0.588783	0.00962904	0
34604	1	0	0	1	0.00967352	0.00963921	0.998212	0.00946574	0.00943082	0.993703	0.00935351	0.00931956	0.992024	0.00931129	0.00927738	0.988527	0	0
34606	5.03401e-08	0.069696	0.311408	0.567678	0.205687	0.172982	2.78834e-08	0.139576	0.490413	7.76057e-07	0.418273	0.149047	0.215819	0.13421	0.212248	1.88738e-15	0.000738647	0.270244
34607	0.832999	0.00227193	0.000567005	0.176797	0.0729043	0.0463609	0.188168	0.0741631	0.0471008	0.189675	0.0753516	0.0476284	0.201129	0.0769101	0.0484511	0.525854	0	0.00139689
34608	0.0885284	0.00104918	0.00901844	0.0202121	0.0320035	0.0734758	0.0202131	0.0320591	0.0737432	0.0768969	0.0381107	0.0736058	0.0768957	0.0381116	0.0735245	1	0	0
34609	0.614916	0.00605457	0.00126633	0.573798	0.121311	0.144762	0.508898	0.122542	0.150831	0.505001	0.110762	0.137001	0.444181	0.111862	0.142567	0.257952	0	0.00191214
34610	0.10086	0.0126167	0.00190426	0.116403	0.181563	0.0975023	0.0876929	0.186002	0.0930952	0.262162	0.167899	0.106387	0.207648	0.171819	0.101955	0.528559	0.00593763	0.00224311
34611	1	0.00136667	0.00136679	0.0744704	0.0425242	0.0211757	0.0744717	0.0425046	0.0211737	0.0744717	0.0425067	0.0211748	0.0744716	0.0425043	0.0211747	1	0	0
34612	1	0	0	0.87954	0.17561	0.156842	0.879494	0.175708	0.156906	0.879499	0.175705	0.156863	0.879494	0.175702	0.156871	0.998628	0	0
34616	0.110151	0.011418	0	0.573643	0.0648232	0.0518229	0.573716	0.0649639	0.0518837	1	0.0588949	0.0587858	1	0.0588953	0.0587793	0.997222	0	0
34618	1	0	0	0.834077	0.0128893	0.014418	0.832713	0.0127607	0.0142792	0.833015	0.012793	0.0143146	0.832538	0.0127271	0.0142569	1	0	0
34619	0.470934	0.0038438	0.00804816	0.00119055	0.122174	0.284545	0.00121813	0.120371	0.276591	0.00251826	0.129098	0.271378	0.00254244	0.126959	0.264392	1	0.000495384	0.00347898
34620	0.370037	0	0.0236076	0.81681	0.208793	0.22373	0.886066	0.213777	0.222961	0.794015	0.204418	0.220733	0.862351	0.209881	0.220814	0.57237	0.00622193	0.00239644
34621	0.999482	0	0	0.0294631	0	0.0487078	0.0294633	0	0.0486958	0.0294652	0	0.0486913	0.0294652	0	0.0486912	1	0	0
34625	0.364076	0	0.00217654	0.219042	0.017071	0.0357158	0.219039	0.0171404	0.0358562	0.249385	0.0182147	0.0366011	0.249377	0.0182112	0.0365959	0.998355	0	0
34626	0.989403	0	0	0.636839	0.0265798	0.0731926	0.636828	0.0268735	0.0733655	0.636827	0.0268624	0.0733678	0.636853	0.0268827	0.0733815	1	0	0
34627	0.247703	0.00162133	0	0.463693	0.0684796	0.0554591	0.463772	0.0683987	0.0553857	0.560018	0.066583	0.0561796	0.560009	0.0665962	0.0561992	0.992871	0	0
34628	0.000868586	0	0.0430603	0.833946	0.15821	0.149454	0.840282	0.161552	0.152918	0.177547	0.185219	0.132797	0.179333	0.189061	0.135804	0.991649	0.00216413	0.00221341
34629	1	0	0	0.000861851	0	0.195554	0.000861851	0	0.195575	0.000861852	0	0.195582	0.000861853	0	0.195626	1	0	0
34630	1	0	0	0.0952418	0.000681469	0.000132643	0.0935626	0.000687742	0.000133928	0.0963033	0.000696019	0.000135302	0.092926	0.000706747	0.000137635	1	0	0
34631	0.712443	0.00476273	0.00806498	0.179786	0.0596176	0.0896183	0.169202	0.0590459	0.0893719	0.222292	0.0589243	0.0842486	0.208734	0.0584261	0.0841606	0.893169	0.00105495	0.00169149
34632	0.972765	0.00301538	0.003185	0.00253273	0.0471315	0.142427	0.00309033	0.0514503	0.145236	0.00270631	0.047627	0.141321	0.0032788	0.0518043	0.143862	0.93199	0.00250697	0.00286743
34633	0.393179	0.00151949	0.00452461	0.740524	0.0274697	0.0303627	0.73879	0.0287456	0.0317178	0.98152	0.0287904	0.0286048	0.984728	0.0300864	0.0299211	0.985299	0.000816338	0.000841681
34634	0.647741	0.0102357	0.00683212	0.517344	0.152781	0.180133	0.517212	0.153068	0.180444	0.434091	0.152772	0.186677	0.4341	0.152759	0.1867	1	0	0
34636	1	0	0	0.216825	0.00436485	0.0320363	0.000203583	0	0.129082	0.216826	0.00436553	0.0320251	0.000203582	0	0.129573	0.000209554	0	0.0676003
34637	0.282282	0.00446645	0.00124042	0.402028	0.0395558	0.0496174	0.347069	0.0380952	0.0493224	0.261989	0.0372006	0.0507498	0.21845	0.0356581	0.0504409	0.22994	0	0.00245291
34638	1	0	0	0.991182	0.00925857	0.00918656	0.981261	0.00927122	0.00919966	0.996979	0.00925129	0.00917959	0.982509	0.00925995	0.00918818	1	0	0
34641	0.252893	0	0.00282606	0.407648	0.115713	0.161379	0.47092	0.120766	0.160702	0.5553	0.122968	0.156694	0.627502	0.127946	0.155845	0.292798	0.00286283	0
34642	0.00360874	0.110173	0	0.220896	0.571169	0.237351	0.143892	0.647303	0.200375	0.741998	0.308794	0.438374	0.90936	0.388774	0.447021	0.424165	0.0128059	0
34643	1	0	0	0.00183979	0.0177719	0.0717279	0.00151754	0.0175529	0.0746183	0.00183987	0.0177809	0.0719319	0.00151755	0.0175512	0.0746384	0.381577	0	0.00193466
34644	1	0	0	0.758719	0.0192934	0.0236869	0.758644	0.0193038	0.0236919	0.758757	0.0193295	0.0237237	0.758776	0.0193293	0.023724	1	0	0
34645	0.799346	0.00558606	0.00301949	0.826222	0.428411	0.380356	0.975732	0.40451	0.397392	0.877834	0.437786	0.401442	0.974453	0.411854	0.419632	0.165933	0	0.010339
34646	0.10386	0	0.00771283	0.206956	0.0209697	0.0875669	0.206954	0.0209879	0.0874922	0.546935	0.0436445	0.0733132	0.546971	0.0435837	0.0731121	1	0	0
34647	0.588779	0.00452643	0.010443	0.44832	0.0232005	0.0573911	0.448253	0.0231008	0.0575634	0.666183	0.0328948	0.0512571	0.666287	0.0329157	0.051184	0.993118	0	0
34650	0.997917	0	0	0.366902	0.0683629	0.117756	0.458548	0.0740619	0.11435	0.366899	0.0684449	0.117918	0.458612	0.0739373	0.114303	0.268647	0.00245377	0
34651	0.0560222	0.00836876	0	0.298118	0.0710247	0.104546	0.298111	0.0710424	0.104589	0.152533	0.0628933	0.108219	0.152532	0.0628867	0.10824	1	0	0
34652	0.997639	0	0	0.719682	0.114112	0.0946428	0.719402	0.114016	0.0945901	0.719439	0.113962	0.0945574	0.719363	0.114072	0.0946218	1	0	0
34653	0.252868	0.00527577	0	0.170141	0.020341	0.00473953	0.170143	0.0203012	0.0047291	0.309778	0.0160719	0.00507261	0.309776	0.0160642	0.00507028	1	0	0
34654	0.373408	0.0209848	0	0.017335	0.144919	0.257349	0.0173355	0.144994	0.25756	0.0123086	0.147786	0.266813	0.0123086	0.147786	0.266815	1	0	0
34655	0.266008	0.00231587	0	0.0333062	0.0940512	0.235419	0.0198018	0.091955	0.244221	0.0238125	0.0888237	0.243822	0.0138606	0.0868345	0.252089	0.117347	0	0.00462096
34656	0.192454	0	0.0376926	0.728429	0.222198	0.241421	0.778297	0.214974	0.229551	0.952343	0.24497	0.248506	0.998928	0.236435	0.236408	1	0.00584592	0
34657	0.244814	0.00102617	0	0.38876	0.0162657	0.0237035	0.388755	0.0161895	0.0236037	0.297628	0.0153142	0.0234635	0.297601	0.015303	0.023448	1	0	0
34660	0.959543	0.0125764	0.0118134	0.954749	0.239022	0.243602	0.947907	0.233108	0.228207	0.929199	0.223612	0.230656	0.976766	0.218503	0.216253	0.976175	0	0.036498
34661	0.0264665	0.000265946	0.00345116	0.632325	0.111404	0.120089	0.596929	0.110103	0.119616	0.86518	0.11421	0.117278	0.826121	0.113018	0.116953	0.565012	0.000385635	0.000966362
34662	0.17149	0	0.00575491	0.0137306	0.0679324	0.107118	0.0137303	0.0679646	0.10716	0.0297272	0.0730885	0.109385	0.029727	0.0730837	0.109378	1	0.000690018	0.00068974
34667	0.23034	0.0123951	0.0338782	0.163266	0.0424729	0.122593	0.00273808	0.0151545	0.203137	0.626096	0.0787313	0.0975157	0.0428338	0.0370476	0.126109	0.00123843	0	0.0435001
34668	0.861439	0.00153664	0.00230467	0.564596	0.182841	0.212172	0.564596	0.182838	0.212171	0.555579	0.181116	0.211	0.555582	0.181112	0.210997	1	0	0
34670	0.250168	0	0.00764396	0.908914	0.0748728	0.0805845	0.895003	0.0736792	0.0674543	0.902324	0.0836348	0.0775956	0.71357	0.0818959	0.0647217	0.274985	0.0078663	0
34671	0.810436	0.0102696	0	0.149385	0.423088	0.599153	0.149459	0.421258	0.59543	0.129855	0.401225	0.576949	0.129867	0.401053	0.576873	1	0	0
34672	0.119557	0	0.0113863	0.0179949	0.0854659	0.261511	0.0179927	0.0854981	0.261979	0.0359008	0.0998901	0.272016	0.0359005	0.0998583	0.272141	1	0	0
