seq_number	prob	query_distance	test_distance	mam_distance	ln_diff	distinct_sites	total_sites	ave_percent_identity	overall_percent_identity	min_undist	max_undist	ave_undist
9679	3.71742e-07	0.145827	0.131801	0.404757	25.8357	149	367	69.5731153496821	59.1280653950954	0.21798365	0.34877384	0.304268843333333
9680	0.19295	0.026573	0.0462573	0.0952275	1.69495	72	455	90.3296703296703	86.3736263736264	0.06593407	0.11868132	0.0967033
9681	0.727813	0.0691846	0.0512676	0.742561	0.121129	87	173	66.4739884393064	52.6011560693642	0.10982659	0.45664740	0.335260113333333
9682	0.331303	0.0821532	0.161776	0.290328	0.9438	52	122	79.2349726775956	72.9508196721311	0.17213115	0.23770492	0.207650273333333
9683	0.636516	0.0240791	0.0290228	0.127543	0.223328	103	862	90.1778808971384	86.0788863109049	0.04872390	0.12296984	0.0982211933333333
9684	0.0108692	0.265767	0.483684	0.619948	6.48658	202	335	51.044776119403	38.5074626865672	0.43582091	0.54029852	0.48955225
9685	0.953846	0.00570072	0.0052306	0.0225332	0.00334985	26	181	97.7900552486188	96.6850828729282	0.01104972	0.02762431	0.0220994466666667
9686	0.245379	0.156184	0.115509	0.289955	1.34942	166	533	75.984990619137	68.6679174484053	0.19699812	0.26829270	0.240150096666667
9687	0.616523	0.194218	0.171031	0.495996	0.250785	197	517	67.6337846550612	57.0599613152805	0.24758221	0.36557060	0.323662153333333
9688	0.908058	0.0925206	0.0839401	0.239832	0.0133376	33	50	76.6666666666667	68	0.16000000	0.28000000	0.23333333
9689	0.374314	0.0781386	0.102055	0.292099	0.789291	86	300	81	73.6666666666667	0.12333333	0.23000000	0.19
9690	0.00206809	0.211532	0.345873	0.581262	9.4881	382	972	60.8024691358025	48.8683127572017	0.33127573	0.44032922	0.391975313333333
9691	0.242486	0	0.00696378	0.0421972	1.36608	26	143	96.7365967365967	95.1048951048951	0.00699301	0.04895105	0.0326340333333333
9692	0.31818	0.0240979	0.0116399	0.0613493	0.996414	42	245	93.6054421768708	90.6122448979592	0.03673469	0.08163265	0.0639455766666667
9693	0.558694	0.313725	0.376466	0.514077	0.34197	117	172	50	37.2093023255814	0.47093022	0.52906978	0.5
9694	0.00360501	0.0745223	0.164741	0.136788	8.47278	107	450	82.962962962963	76.6666666666667	0.14888889	0.19555555	0.17037037
9695	0.912011	0.0624124	0.0693026	0.595964	0.0122107	61	106	68.5534591194968	56.6037735849057	0.13207547	0.40566039	0.314465416666667
9696	0.240225	0	0.0419671	0.517527	1.37928	65	215	81.7054263565892	73.0232558139535	0.04651163	0.25116280	0.182945743333333
9697	9.73407e-06	0.287358	0.264453	0.390366	19.5629	106	225	69.6296296296296	58.2222222222222	0.27111110	0.31999999	0.303703693333333
9698	0.70748	0.0472319	0.0420097	0.31896	0.140807	169	943	79.88688582538	71.3679745493107	0.08059385	0.26193002	0.201131143333333
9699	0.000267872	0.146801	0.313601	0.0997117	13.2827	51	126	79.6296296296296	71.4285714285714	0.15873016	0.23809524	0.203703706666667
9700	0.375104	0.0795612	0.0555455	0.207307	0.786686	95	331	81.2688821752266	73.7160120845921	0.12386707	0.22960725	0.187311176666667
9701	0.642975	0.554715	0.47089	1.13211	0.214872	171	224	39.7321428571429	27.2321428571429	0.53571427	0.63839287	0.60267858
9702	0.136359	0.00968336	0.0393463	0.405041	2.21858	59	217	79.1090629800307	69.5852534562212	0.04608295	0.29032257	0.208909363333333
9703	0.259041	0.0714552	0.218669	0.38056	1.27387	26	31	64.5161290322581	51.6129032258064	0.25806451	0.41935483	0.3548387
9704	0.960233	0.183537	0.187479	0.557435	0.0024862	114	204	60.6209150326797	49.0196078431373	0.31862745	0.43137255	0.39379085
9705	0.0891038	0.0191189	0.0453284	0.0161475	2.89049	39	268	94.4029850746269	91.7910447761194	0.03731343	0.06716418	0.05597015
9706	0.10938	0.0450114	0.125549	0.252512	2.56315	48	315	93.015873015873	90.1587301587302	0.04761905	0.08888889	0.0698412733333333
9707	0.690998	0.0175631	0.0222356	0.0417451	0.158007	46	404	95.1320132013201	93.0693069306931	0.03712871	0.05693069	0.0486798666666667
9708	9.37414e-06	0	0.266008	0.135189	19.6349	39	249	94.6452476572959	91.9678714859438	0.03614458	0.08032128	0.0535475233333333
9709	0.000146369	0.201242	0.471164	0.312018	14.4184	117	190	54.5614035087719	38.4210526315789	0.37368420	0.52105266	0.454385966666667
9710	0.493465	0.158456	0.185173	0.39637	0.468961	212	558	68.1600955794504	58.2437275985663	0.25985664	0.35483870	0.318399043333333
9711	0.00796786	0.0489737	0	0.0231132	7.04068	28	122	95.3551912568306	93.4426229508197	0.02459016	0.06557377	0.0464480866666667
9712	0.233738	0.268339	0.17921	0.567618	1.41797	127	215	57.3643410852713	43.7209302325581	0.32558140	0.48837209	0.426356593333333
9713	0.872203	0.0613544	0.0674666	0.298885	0.0258763	76	238	81.2324929971989	74.3697478991597	0.10504202	0.23109244	0.187675073333333
9714	0.134598	0.06572	0.0516884	0.149022	2.23865	257	1664	81.4703525641026	74.6394230769231	0.13401443	0.21694711	0.185296476666667
9715	0.862774	0.122322	0.115964	0.124762	0.0298749	80	286	81.9347319347319	75.8741258741259	0.17132868	0.18881118	0.180652683333333
9716	0.334897	0.00199682	0.00510635	0.0217989	0.929868	39	849	98.1939536709855	97.4087161366313	0.00706714	0.02473498	0.0180604633333333
9717	0.112788	0.0292855	0.00880417	0.122929	2.51472	62	412	92.2330097087379	88.8349514563107	0.03155340	0.10436893	0.0776699033333333
9718	0.925484	0.146644	0.150002	0.196745	0.00874752	127	818	88.1010594947025	83.7408312958435	0.11124694	0.12347189	0.118989406666667
9719	0.401863	0.0411858	0.0855121	0.316301	0.702743	53	130	78.7179487179487	70.7692307692308	0.10769231	0.27692309	0.212820523333333
9720	0.226773	0.0577544	0.0363152	0.147164	1.46099	89	470	86.8794326241135	81.2765957446808	0.08297873	0.16170213	0.131205676666667
9721	0.368836	0.0361428	0.0499412	0.121831	0.807581	94	555	88.4684684684685	83.7837837837838	0.07567567	0.13873874	0.115315316666667
9722	0.032975	0.149706	0.386357	0.385422	4.54707	60	91	59.3406593406593	47.2527472527472	0.37362638	0.46153846	0.40659341
9723	0.797028	0.0606804	0.0571941	0.14561	0.0661497	181	1159	85.9073914293932	80.6729939603106	0.10440034	0.16048318	0.140926083333333
9724	0.0687492	0.0307224	0.00905773	0.0445175	3.31263	42	179	90.316573556797	86.0335195530726	0.07262570	0.12290503	0.0968342666666667
9725	0.604051	0.066377	0.0524545	0.115278	0.268929	60	251	86.5869853917663	81.2749003984064	0.11155379	0.14741036	0.13413015
9726	4.93871e-08	0.0152491	0.0330154	0.090802	29.7407	57	344	90.6976744186046	86.6279069767442	0.05232558	0.12209302	0.0930232533333333
9727	0.305557	0.197905	0.160849	0.509546	1.04978	276	629	57.9226285108638	44.3561208267091	0.31160572	0.48648649	0.420773713333333
9728	0.0950292	0.16651	0.273589	0.794532	2.78705	216	428	55.9190031152648	42.2897196261682	0.30373833	0.52102804	0.440809976666667
9729	0.000200432	0.0669151	0.148333	0.22482	13.827	195	820	78.3739837398374	70.2439024390244	0.17195122	0.25731707	0.21626016
9730	0.466961	0.214648	0.155635	0.6849	0.529159	124	202	54.4554455445545	40.5940594059406	0.33168316	0.51980197	0.455445546666667
9731	0.488273	0.101785	0.171099	0.468363	0.48033	83	775	92.7741935483871	89.8064516129032	0.04774193	0.08774193	0.07225806
9732	0.64833	0.0220858	0.0339496	0.0704617	0.208012	30	95	92.280701754386	88.4210526315789	0.05263158	0.09473684	0.0771929833333333
9733	0.464324	0.048573	0.0837737	0.15632	0.535452	42	128	85.4166666666667	80.46875	0.10937500	0.17187500	0.145833333333333
9734	0.253489	0.0117793	0.03035	0.0314388	1.30397	32	220	96.3636363636364	94.5454545454545	0.03181818	0.04545455	0.0363636366666667
9735	1	0.0161847	0.0152207	0.0523571	-0.262145	47	571	96.1471103327496	94.3957968476357	0.02276707	0.04728546	0.0385288933333333
9736	0.629112	0.144285	0.159303	0.465414	0.233266	306	1140	71.374269005848	62.280701754386	0.20701754	0.33157894	0.286257306666667
9737	0.44876	0.0136372	0.00660913	0.0671299	0.573782	45	519	96.4033397559409	94.7976878612717	0.01348748	0.04816956	0.0359666033333333
9738	0.257314	0.102841	0.21416	0.138368	1.28315	27	47	76.5957446808511	65.9574468085106	0.19148937	0.25531915	0.234042556666667
9739	0.0520817	0.110122	0.23932	0.362592	3.77314	75	160	69.7916666666667	59.375	0.25000000	0.34999999	0.302083333333333
9740	7.71009e-06	0.0389002	0.265113	0.247973	20.0084	84	195	73.1623931623932	63.5897435897436	0.22564103	0.34871796	0.268376073333333
9741	0.558503	0.0449293	0.0342581	0.259457	0.342302	106	543	84.4076120319214	77.9005524861878	0.06629834	0.20073664	0.155923873333333
9742	0.657752	0.071273	0.0682121	0.164959	0.196266	61	207	84.8631239935588	79.2270531400966	0.11594203	0.16908212	0.151368756666667
9743	0.180917	0.0459394	0.106574	0.213316	1.79008	47	128	82.8125	75.78125	0.12500000	0.21093750	0.171875
9744	0.140703	0.0394863	0.00869814	0.0211679	2.17025	26	139	95.9232613908873	94.2446043165468	0.02877698	0.05035971	0.0407673866666667
9745	0.916678	0.0773156	0.0796194	0.151759	0.0109452	122	571	83.8295388207823	78.1085814360771	0.13309982	0.17688267	0.161704613333333
9746	0.442706	0.0278885	0.0450708	0.0416439	0.589258	37	164	92.479674796748	89.0243902439024	0.06707317	0.08536585	0.07520325
9747	0.633856	0.144707	0.16066	0.370232	0.226868	224	742	72.9559748427673	63.8814016172507	0.21293801	0.29919139	0.270440263333333
9748	0.11295	0	0.168724	1.12226	2.51246	52	98	70.4081632653061	61.2244897959184	0.14285715	0.37755102	0.29591837
9749	0.0175681	0.0204039	0.0538907	0.094767	5.63871	91	611	90.5073649754501	86.9067103109656	0.06873977	0.11620294	0.0949263466666667
9750	0.713506	0.021968	0.0169551	0.0495258	0.134801	38	378	96.2081128747795	94.7089947089947	0.02645503	0.04497354	0.03791887
9751	0.635238	0.0306202	0.0380401	0.143554	0.225025	82	549	89.3139040680024	85.063752276867	0.05828780	0.13114753	0.106860953333333
9752	0.99716	0	0	0.0647264	1.26716e-05	24	89	96.2546816479401	94.3820224719101	0.00000000	0.05617978	0.0374531866666667
9753	0.00448886	0.23847	0.36905	0.850737	8.07466	221	380	49.3859649122807	35.7894736842105	0.39736843	0.57105261	0.50614035
9754	0.943672	0.024318	0.0235306	0.0840388	0.00499227	77	349	86.5329512893983	80.8022922636103	0.08022922	0.16332377	0.13467048
9755	0.239504	0.00358785	0	0.00724206	1.38351	23	288	99.3055555555556	98.9583333333333	0.00347222	0.01041667	0.00694444333333333
9756	0.277838	0.186417	0.109049	0.590606	1.17764	100	206	64.7249190938511	53.3980582524272	0.21844660	0.42233011	0.352750813333333
9757	0.981299	0.0250376	0.0252724	0.170333	0.000549422	122	1246	90.4761904761905	86.2760834670947	0.03691814	0.12600321	0.0952380966666667
9758	0.367213	0.0971878	0.132264	0.407699	0.813073	128	362	72.8360957642726	62.4309392265193	0.17127071	0.32872927	0.271639033333333
9759	0.181084	0.07555	0.104997	0.384676	1.78871	212	807	72.6559273027675	61.8339529120198	0.15737298	0.33581164	0.273440726666667
9760	0.280667	0.0372354	0.0271477	0.117015	1.16386	131	1058	89.3194706994329	84.593572778828	0.06143667	0.13327032	0.10680529
9761	1	0.286606	0.349836	0.539047	-2.01984	215	431	58.3913379737046	46.1716937354988	0.36890951	0.44779584	0.416086626666667
9762	0.0184837	0.0699464	0.0218204	0.16517	5.54971	74	554	91.5764139590854	88.2671480144404	0.05054152	0.10830325	0.0842358633333333
9763	0.889571	0.0621921	0.0663309	0.190219	0.0192784	73	318	86.4779874213836	81.1320754716981	0.09119496	0.16037735	0.13522012
9764	0.373626	0.0864091	0.108432	0.164571	0.791568	132	696	85.632183908046	80.0287356321839	0.12212644	0.15804598	0.143678163333333
9765	0.464231	0.0741087	0.105068	0.31549	0.535675	88	297	80.695847362514	74.4107744107744	0.13468014	0.22222222	0.193041526666667
9766	0.239618	0	0.00415326	0.00831449	1.38284	23	243	99.1769547325103	98.7654320987654	0.00411523	0.01234568	0.00823045333333333
9767	0.248257	0.044044	0.0249344	0.370915	1.33309	149	830	83.6947791164659	76.8674698795181	0.05301205	0.22168675	0.163052206666667
9768	0.350455	0	0.00743386	0.0554555	0.871809	27	148	96.6216216216216	95.2702702702703	0.00675676	0.04729730	0.0337837866666667
9769	0.329292	0.155595	0.195875	0.473461	0.951679	217	506	62.6482213438735	50.197628458498	0.28063241	0.42687747	0.373517783333333
9770	0.086265	0.0309135	0.0104743	0.0924648	2.94273	57	406	92.1182266009852	88.423645320197	0.03940887	0.10591133	0.0788177366666667
9771	0.52962	0.134908	0.106942	0.348962	0.39512	111	308	74.7835497835498	65.5844155844156	0.18506494	0.28896105	0.25216451
9772	0.974918	0.0189138	0.0185773	0.038854	0.000988552	44	350	93.9047619047619	91.4285714285714	0.04571429	0.06857143	0.0609523833333333
9773	0.660231	0.0966281	0.134534	0.275664	0.193243	30	47	70.9219858156028	57.4468085106383	0.21276596	0.34042552	0.290780136666667
9774	0.141849	0.0385764	0.0808529	0.054721	2.15778	43	160	89.375	84.375	0.08750000	0.12500000	0.10625
9775	0.331149	0.0692395	0.115232	0.396558	0.944398	61	119	71.4285714285714	62.1848739495798	0.17647059	0.34453782	0.28571429
9776	0.180585	0.1691	0.10378	0.274454	1.7928	97	290	77.3563218390805	70	0.17931035	0.26896551	0.226436783333333
9777	1	0.173617	0.229968	1.90576	-7.41474	271	634	56.0462670872765	41.7981072555205	0.22870663	0.54574132	0.439537336666667
9778	0.958872	0.0405293	0.0416162	0.384697	0.0026594	121	353	74.9763928234183	64.3059490084986	0.08498584	0.33994335	0.25023608
9779	0.251072	0.0477647	0.0301754	0.116139	1.31733	87	366	84.7905282331512	78.9617486338798	0.10109290	0.18306011	0.15209472
9780	0.0959647	0.0296309	0.00553529	0.134883	2.77136	57	283	90.4593639575972	85.8657243816254	0.03533569	0.13427562	0.09540636
9781	0.72058	0.0290304	0.0318521	0.127221	0.127937	159	1702	89.9529964747356	85.5464159811986	0.05346651	0.12573443	0.100470036666667
9782	0.279858	0.0450318	0.0320389	0.0861934	1.16778	63	347	89.7214217098943	85.3025936599424	0.07492796	0.12103746	0.102785783333333
9783	0.0932098	0.0824614	0.190703	0.436495	2.81805	84	188	72.5177304964539	62.2340425531915	0.19148937	0.34042552	0.274822693333333
9784	0.4525	0.0891277	0.116011	0.425513	0.564383	147	415	71.2449799196787	60	0.17349398	0.35421687	0.2875502
9785	0.538225	0.0909254	0.0626436	0.177543	0.378839	50	123	82.3848238482385	75.609756097561	0.13008130	0.20325203	0.176151756666667
9786	0.146676	0.195872	0.312329	0.721827	2.10649	191	385	61.2121212121212	50.9090909090909	0.31168830	0.43636364	0.387878786666667
9787	0.57314	0.0166095	0.00762928	0.0530061	0.317458	26	127	95.2755905511811	92.9133858267717	0.02362205	0.06299213	0.0472440966666667
9788	0.944291	0.0415409	0.0404514	0.135598	0.00488292	101	515	86.9255663430421	81.5533980582524	0.08349515	0.15533981	0.130744336666667
9789	0.170647	0.086174	0.141102	0.327057	1.87725	121	350	76.8571428571429	69.1428571428571	0.17142858	0.27714285	0.231428573333333
9790	0.398595	0.104832	0.0762044	0.262152	0.712562	96	301	78.0730897009967	69.7674418604651	0.14950167	0.26245847	0.219269106666667
9791	0.410376	0.127508	0.167817	0.471872	0.677712	134	284	64.2018779342723	51.7605633802817	0.23943663	0.42605633	0.357981216666667
9792	0.140006	0.119163	0.0570921	0.328255	2.17789	83	291	81.5578465063001	74.914089347079	0.11340206	0.23024055	0.184421536666667
9793	0.293522	0.161959	0.101402	0.725482	1.1034	159	321	61.8899273104881	49.5327102803738	0.21806854	0.47663552	0.381100726666667
9794	0.223124	0.163422	0.0596982	0.216288	1.48416	40	91	81.3186813186813	75.8241758241758	0.15384616	0.21978022	0.18681319
9795	0.877712	0.183445	0.173817	0.404773	0.0236759	112	240	67.2222222222222	56.25	0.27083334	0.36250001	0.32777778
9796	0.723719	0.024572	0.0210267	0.0409497	0.124957	62	685	94.9878345498783	92.992700729927	0.04087591	0.05547445	0.0501216533333333
9797	0.098052	0.146979	0.0918399	0.177881	2.73695	120	470	81.7730496453901	75.9574468085106	0.16382979	0.20212767	0.182269506666667
9798	0	0.472785	0.0244468	0.0526653	138.642	126	524	80.3435114503817	71.7557251908397	0.05725191	0.27290076	0.196564886666667
9799	0.654856	0.135752	0.121221	0.250813	0.199833	141	446	75.0373692077728	66.1434977578475	0.20403588	0.27578476	0.24962631
9800	0.00411647	0.118711	0.218154	0.451594	8.23171	235	592	62.1058558558559	49.4932432432432	0.28040540	0.45101351	0.378941436666667
9801	0.00131573	0.0708598	0.794988	0.722526	10.3203	58	81	57.201646090535	45.679012345679	0.38271606	0.50617284	0.427983543333333
9802	0.310088	0.0510173	0.073281	0.0827791	1.0303	73	308	86.5800865800866	80.8441558441558	0.12012987	0.14935064	0.134199133333333
9803	7.52695e-09	0.153591	0.343745	0.586108	33.3936	520	1377	56.5722585330428	42.9193899782135	0.35221496	0.50108933	0.434277413333333
9804	0.204826	0.0260138	0.0109496	0.119674	1.60762	62	411	90.7542579075426	86.8613138686131	0.03649635	0.12165450	0.09245742
9805	0.260557	0.115869	0.0747356	0.190265	1.2658	87	261	78.544061302682	71.264367816092	0.18007663	0.23754789	0.214559386666667
9806	0.323444	0	0.0075176	0.0571306	0.974968	27	135	96.2962962962963	94.8148148148148	0.00740741	0.05185185	0.0370370366666667
9807	0.0459053	0.0419337	0.0886628	0.175027	3.98507	94	457	86.6520787746171	81.4004376367615	0.09409191	0.16192560	0.133479213333333
9808	0.0438095	0.20538	0.47707	0.896815	4.06389	141	311	67.0953912111468	56.2700964630225	0.25080386	0.38585210	0.32904609
9809	0	0.0243064	0.711425	0.0509888	80.6398	71	138	68.3574879227053	55.0724637681159	0.10869565	0.43478259	0.31642511
9810	0.665651	0.00781959	0.00599298	0.00946134	0.186732	38	921	98.6608758595729	98.0456026058632	0.01194354	0.01520087	0.0133912433333333
9811	0.953431	0.106991	0.103848	0.314377	0.00341045	69	153	73.8562091503268	64.7058823529412	0.17647059	0.30718955	0.261437916666667
9812	0.117729	0.0450392	0.0705143	0.12532	2.44728	121	645	86.5116279069767	81.0852713178295	0.10232558	0.15813954	0.134883723333333
9813	0.0262177	0.0927812	0.141933	0.408747	4.9416	303	1197	72.9044834307992	63.4085213032581	0.17543860	0.32581455	0.270955173333333
9814	0.103177	0.123596	0.185884	0.367446	2.65573	194	496	68.8844086021505	59.2741935483871	0.24798387	0.34879032	0.311155916666667
9815	0.757074	0.122031	0.135773	0.205034	0.0956826	94	329	81.4589665653495	75.6838905775076	0.16717325	0.19756839	0.185410336666667
9816	1.36493e-11	0.0322899	0.693989	0	45.719	47	175	88.5714285714286	84	0.02285714	0.16000000	0.114285713333333
9817	1.75922e-08	0.0711446	0.176747	0.209893	31.7437	285	1174	75.9227711527541	67.0357751277683	0.20698467	0.28449744	0.240772286666667
9818	0.0032729	0.222323	0.100583	0.165429	8.64873	104	310	75.4838709677419	66.4516129032258	0.20645161	0.27741936	0.24516129
9819	0.624728	0.0710422	0.0595857	0.152773	0.239278	95	425	84.4705882352941	78.8235294117647	0.11764706	0.17647059	0.155294116666667
9820	0.831618	0.0729392	0.0843808	0.393838	0.0452102	65	174	81.0344827586207	72.9885057471264	0.11494253	0.22988506	0.189655173333333
9821	0.000112776	0.0991999	0.216567	0.356851	14.9098	261	779	68.3782627299957	58.5365853658537	0.25288832	0.37227213	0.31621737
9822	0.947974	0.106133	0.103439	0.526777	0.00425778	237	350	42.0952380952381	27.1428571428571	0.41428572	0.66571426	0.57904762
9823	0.85015	0.0179655	0.0206322	0.0997184	0.0356933	52	353	92.2568460812087	88.9518413597734	0.03682720	0.09915014	0.07743154
9824	0.693206	0.0879676	0.0626674	0.413313	0.155636	57	128	77.34375	68.75	0.11718750	0.28906250	0.2265625
9825	0.00131036	0.137627	0.488431	0.56523	10.3279	103	154	51.5151515151515	38.3116883116883	0.41558442	0.58441556	0.484848483333333
9826	1	0.0401491	0.0611166	0.153246	-0.237582	67	1066	96.1538461538462	94.2776735459662	0.02345216	0.04784240	0.0384615366666667
9827	0.836349	0.0535173	0.0580777	0.152144	0.0426693	79	308	84.0909090909091	77.2727272727273	0.10714286	0.18506494	0.159090913333333
9828	0.658315	0.1296	0.151004	0.238233	0.195577	96	216	70.5246913580247	60.6481481481482	0.25925925	0.31481481	0.294753083333333
9829	0.0287147	0.0684713	0.0067689	0.0265228	4.78464	30	124	94.3548387096774	91.9354838709677	0.03225806	0.07258064	0.05645161
9830	0.825222	0.0887877	0.0827573	0.268119	0.0487673	123	496	79.2338709677419	70.9677419354839	0.13911290	0.24193548	0.207661286666667
9831	0.0937239	0.131851	0.0661453	0.162915	2.80922	67	225	82.2222222222222	75.5555555555556	0.15111111	0.20888889	0.177777776666667
9832	0.400202	0.00783806	0.0123126	0.0532097	0.70772	66	938	95.6289978678038	93.7100213219616	0.01918977	0.05650320	0.0437100233333333
9833	0.762173	0.034651	0.0287613	0.110305	0.0915837	54	342	91.812865497076	88.5964912280702	0.04970760	0.09941521	0.0818713466666667
9834	0.251271	0.0178649	0.00885548	0.10998	1.31623	87	766	92.2976501305483	89.0339425587467	0.02480418	0.10574412	0.0770234966666667
9835	0.00480281	0.0522798	0.159601	0.593301	7.95223	93	375	79.6444444444444	70.9333333333333	0.10133334	0.27200001	0.20355556
9836	0.106049	0.0296829	0.04856	0.105393	2.61213	112	888	90.2027027027027	85.9234234234234	0.06869369	0.11824324	0.0979729733333333
9837	9.30877e-06	0.0642968	0.210923	0.1593	19.6483	122	468	79.0598290598291	72.6495726495726	0.17948718	0.24358974	0.20940171
9838	0.840794	0.0771821	0.0843122	0.135973	0.0403518	62	203	83.4154351395731	76.8472906403941	0.13793103	0.18226601	0.165845646666667
9839	0.175784	0.475099	1.21823	1.90875	1.83291	51	75	60	48	0.33333334	0.46666667	0.400000006666667
9840	0.600404	0.120484	0.153859	0.845584	0.274387	140	286	59.5571095571096	46.1538461538462	0.22027972	0.49650350	0.404428906666667
9841	0.962867	0.0283792	0.0279728	0.0875066	0.00216748	108	952	91.3515406162465	87.2899159663866	0.05357143	0.10399160	0.0864845966666667
9842	0.948395	0.0559294	0.0583762	0.610036	0.00418893	111	443	79.0067720090293	70.4288939051919	0.07223476	0.28216705	0.209932283333333
9843	0.175984	0.0506773	0.131216	0.222905	1.83122	44	92	78.9855072463768	70.6521739130435	0.16304348	0.25000000	0.210144926666667
9844	0.342459	0.423541	0.590128	1.07199	0.901203	144	203	38.752052545156	22.1674876847291	0.52709359	0.66995072	0.612479466666667
9845	0.261116	0.00399624	0.0099896	0.0144012	1.26283	33	372	97.4910394265233	96.2365591397849	0.01881720	0.03225806	0.0250896033333333
9846	0.484678	0.0220141	0.0316898	0.109637	0.488318	69	400	90.6666666666667	86.75	0.05000000	0.11750000	0.0933333333333333
9847	0.0229835	0.0885873	0.0303015	0.0810261	5.16975	57	235	88.0851063829787	83.4042553191489	0.10638298	0.14042553	0.119148936666667
9848	0.341864	0.00969771	0.00337841	0.0451907	0.903427	34	310	96.3440860215054	94.5161290322581	0.01290323	0.05161290	0.03655914
9849	0.282838	0.281667	0.436158	0.508819	1.1534	84	132	59.8484848484849	50	0.37878788	0.43939394	0.40151515
9850	0.731436	0.0491869	0.0582967	0.255252	0.117797	81	448	89.7321428571429	85.2678571428571	0.05580357	0.12723215	0.102678573333333
9851	0.306702	0.143997	0.190458	0.47758	1.04483	196	484	66.4600550964187	55.7851239669422	0.25413224	0.37809917	0.335399446666667
9852	0.383209	0.0510514	0.0206734	0.146129	0.760382	39	90	83.7037037037037	77.7777777777778	0.10000000	0.20000000	0.162962963333333
9853	0.0948855	0.323875	0.22214	0.323377	2.78947	158	314	60.9341825902335	50	0.37261146	0.42356688	0.39065817
9854	0.543257	0.0283571	0.0180553	0.0611307	0.369536	40	239	93.5843793584379	91.2133891213389	0.04602510	0.07531381	0.0641562066666667
9855	0.0731116	0.285276	0.123863	0.884748	3.21174	113	191	56.5445026178011	42.9319371727749	0.28795812	0.52879584	0.434554986666667
9856	0.720467	0.0189342	0.016059	0.0590784	0.128046	65	725	94.2988505747126	91.7241379310345	0.03310345	0.07034483	0.0570114966666667
9857	0.355604	0.0744776	0.0453263	0.118148	0.853359	45	149	85.0111856823266	77.8523489932886	0.11409396	0.18120806	0.149888143333333
9858	0.279762	0.0079605	0.0133439	0.0291095	1.16824	58	964	96.5767634854772	95.0207468879668	0.02282158	0.04253112	0.0342323666666667
9859	0.555381	0.00549987	0.0112147	0.0168641	0.347764	26	181	97.7900552486188	96.6850828729282	0.01657459	0.02762431	0.02209945
9860	4.1126e-12	0.163363	0.368449	0.604581	48.0701	187	486	68.7928669410151	58.2304526748971	0.24897119	0.37037036	0.312071323333333
9861	0.430362	0.0999982	0.0650015	0.468554	0.621847	107	332	75.4016064257028	67.7710843373494	0.14156626	0.30421686	0.245983933333333
